zipcode,racial_maj,total_pop,no_debts,total_debt_amt,summed_debt_amt,water_balance,sewer_balance,tax_balance,penalty_balance,garbage_balance,other_balance,no_metered_homes,no_unmetered_homes,total_debt_metered,total_debt_unmetered,avg_debt,avg_metered_debt,avg_unmetered_debt
60629,Latino,110029,12435,12901653.39999997,12863711.489999985,4141265.9000001927,3991655.630000159,3991655.630000159,1565830.4800000263,961479.2999999988,33006.920000000006,3749,8686,5097518.039999988,7804135.359999593,627.5943192601201,2081.6578714322736,898.472871287082
60628,Black,64254,12057,33164295.93000027,33158223.70000028,10129209.370000368,9149023.900000291,9149023.900000291,7955614.4000000525,2163599.7800000086,164505.69,4614,7443,9477271.40999998,23687024.51999997,1964.5869221199277,5133.728764629383,3182.4566062071704
60617,Black,83553,11659,21339222.770000264,21057464.04000026,6568199.740000046,5907639.230000018,5907639.230000018,4354763.23000002,1516656.9399999983,70525.05000000002,5611,6048,9788368.109999916,11550854.660000082,990.7243039711881,2058.6089217608414,1909.8635350529237
60620,Black,67711,10803,18751709.470000073,18750990.47000007,6135234.700000135,5459781.86000009,5459781.86000009,3177308.1999999997,1251702.2699999975,55897.97000000001,5184,5619,7890429.730000004,10861279.740000106,1005.3947736739893,2095.154270833354,1932.9559957287963
60619,Black,61207,10663,19654944.549999956,19656387.879999932,6295940.410000098,5705067.480000077,5705067.480000077,3497383.17,1332084.8899999997,57613.21000000001,5975,4688,9235098.319999969,10419846.230000071,977.1964953577859,1743.9073188284638,2222.6634449658854
60634,White,75082,8001,5338799.159999803,5320162.929999811,1916598.3399998709,1625640.4899998996,1625640.4899998996,457799.09000000445,364451.2700000008,18384.440000000006,3230,4771,2545351.1400000197,2793448.020000025,349.1373603299619,864.8445882353019,585.5057681827761
60643,Black,48887,7829,11458634.570000025,11452804.110000044,3923138.499999966,3178438.9799999674,3178438.9799999674,1942449.4299999906,775707.1399999982,54090.94999999997,3079,4750,3878722.700000013,7579911.870000012,968.1839149316659,2461.809636245538,1595.7709200000027
60632,Latino,89857,7792,6774425.329999877,6768809.719999888,2148515.8399999538,2092239.0199999313,2092239.0199999313,790454.7900000047,569250.8399999996,21791.86,3516,4276,3206827.0700000064,3567598.2600000105,457.85398613963173,1014.6752730375456,834.33074368569
60639,Latino,88204,7606,8394740.289999858,8393941.40999986,2963432.960000082,2593974.470000064,2593974.470000064,778804.140000002,584703.8200000015,16568.97,3363,4243,4080794.0000000047,4313946.28999995,567.1767407309952,1282.767258400223,1016.720784822048
60652,,43447,6663,5633813.490000158,5623089.420000145,1976013.4399998982,1659087.7699999153,1659087.7699999153,627615.8400000073,396380.14999999874,13197.519999999999,2422,4241,1656993.9700000037,3976819.520000006,596.8511961578878,1641.9568620974426,937.7079745343094
60638,Latino,58669,6637,4414247.079999972,4416467.899999968,1861489.399999915,1179200.0799999589,1179200.0799999589,373987.48000000574,308682.8500000007,8063.460000000001,2892,3745,2112247.989999992,2301999.089999982,346.8433162573425,795.988620331944,614.6860053404491
60636,Black,30024,6588,21233984.530000262,21211801.12000026,6393669.2600001935,5820043.110000128,5820043.110000128,5285222.880000018,1442885.1999999965,85869.93000000004,2437,4151,6119334.130000011,15114650.399999999,2294.269945355191,6202.154452195322,3641.20703444953
60651,Black,63492,6560,10488804.269999955,10505272.369999958,3347413.5200000163,3191688.9200000176,3191688.9200000176,1524588.2800000007,772706.0700000008,29251.47,3186,3374,4769851.120000002,5718953.149999939,871.7916387195029,1795.026098556164,1695.0068612922166
60623,Latino,81283,6543,17323244.619999994,17331012.139999997,5865092.629999951,4926976.019999965,4926976.019999965,3090221.2799999975,1147636.4000000027,57298.57999999998,3499,3044,10647714.149999965,6675530.469999903,1020.2553064343425,1907.8395170048307,2193.012637976315
60609,Latino,60939,6523,14746350.440000078,14762065.500000102,4444954.130000076,4302812.250000014,4302812.250000014,3082225.049999995,1093911.299999998,60451.979999999996,4027,2496,7749416.890000042,6996933.549999984,1072.6557642189152,1737.5052272162861,2803.2586338140964
60618,,94907,6521,5123679.339999925,5140374.0499999365,1674275.319999973,1655498.1099999794,1655498.1099999794,451891.7100000014,405291.5100000003,9799.339999999997,4478,2043,3295251.5400000047,1828427.8000000145,280.3907069467895,408.3134881643623,894.9720019579121
60647,,87633,5665,4569002.179999965,4567786.619999963,1448493.6899999802,1433830.9799999828,1433830.9799999828,439249.50000000023,424663.3699999998,16007.489999999996,4040,1625,2795165.5799999847,1773836.6000000148,313.1220829655807,439.0684653465383,1091.5917538461629
60641,Latino,69880,5612,4292059.810000022,4280158.120000026,1408601.3799999477,1358942.2599999574,1358942.2599999574,382701.5900000026,332473.76999999955,11960.940000000002,2754,2858,2014550.8299999905,2277508.9800000195,405.8283998574518,826.9822004357369,796.8890762771236
60630,White,56433,5077,3236085.280000021,3238117.2700000186,1080531.7599999858,1022022.3699999895,1022022.3699999895,275309.4200000023,258691.27999999988,6065.219999999998,2605,2472,1357556.189999996,1878529.0900000113,370.00769942879873,721.1244107485647,759.9227710356032
60608,,80059,4880,5158252.200000028,5179025.730000023,1621709.8899999806,1629623.8099999828,1629623.8099999828,600129.2500000006,443892.3500000007,12303.73,3651,1229,3830795.370000042,1327456.829999995,272.01984221311375,363.5871898110093,1080.111334418222
60621,Black,28018,4445,23966296.78000007,23970736.610000074,7070894.940000025,6746584.6700000325,6746584.6700000325,6153989.470000023,1501844.3699999996,92138.02999999997,2365,2080,10224592.399999993,13741704.380000021,3091.4970483689585,5810.445826638487,6606.588644230779
60644,Black,46591,4083,11208081.769999964,11213311.759999966,4113434.3699999745,3229330.459999974,3229330.459999974,1676571.6899999965,663717.1799999989,32953.05000000002,2155,1928,6003426.4300000025,5204655.339999982,1274.713529267691,2415.1532900231937,2699.5100311203228
60625,,79444,3794,3273766.2300000107,3276553.820000007,1115042.3599999938,1099182.619999998,1099182.619999998,214062.1799999997,210062.53000000003,4783.099999999999,2479,1315,2087394.1900000006,1186372.0400000075,312.6969003690057,478.5687938684984,902.1840608365076
60649,Black,46633,3614,11701655.350000052,10974599.920000052,3582434.56,3451243.3899999997,3451243.3899999997,1755037.5599999963,449524.3799999998,21998.800000000003,2508,1106,8761552.400000023,2940102.9500000053,813.5315301604885,1172.2898524720915,2658.320931283911
60614,White,71954,3429,2448029.6999999955,1423647.9000000034,467356.43000000046,464121.1600000003,464121.1600000003,136721.47999999972,95809.34999999999,3872.0300000000007,3230,199,2352043.0199999926,95986.67999999998,27.992615923009616,29.717238390092874,482.3451256281406
60637,Black,47300,3428,10420967.350000082,10353695.820000067,3277667.410000006,3231580.2400000063,3231580.2400000063,1637008.5399999998,600419.22,28535.310000000005,2620,808,7448656.910000028,2972310.4399999985,867.0683897316216,1134.4696335877857,3678.6020297029686
60624,Black,34892,3255,10713457.260000007,10722659.800000003,3261882.9300000058,3186785.369999999,3186785.369999999,2168998.559999994,703505.8700000007,31683.250000000004,2040,1215,5800361.219999974,4913096.039999978,1509.3997050691175,2408.380411764695,4043.700444444426
60655,White,28569,2966,2669770.530000005,2675608.8499999996,1329292.8399999524,618170.9600000094,618170.9600000094,238707.2499999998,145087.00000000003,4336.47,1087,1879,1291216.979999998,1378553.549999982,464.78541807147064,1268.218537258493,733.663411389027
60631,White,29529,2904,2081096.5900000015,2078865.210000002,1020181.9899999986,531922.0000000036,531922.0000000036,110173.78999999973,98914.19000000006,2344.72,1413,1491,1240384.3100000047,840712.279999995,289.50147382919937,594.9839207360192,563.8580013413783
60622,White,53294,2811,2571726.080000002,2596048.160000001,797086.3399999997,823972.0500000005,823972.0500000005,259754.33999999968,244002.21000000002,9234.489999999996,2443,368,2106298.3700000066,465427.7099999995,165.57371398078956,190.5148219402372,1264.7492119565204
60646,White,28569,2770,1467746.1600000022,1466358.740000003,490254.09000000305,462132.09000000235,462132.09000000235,140387.7199999999,108683.53,3275.53,1293,1477,587765.029999999,879981.1299999998,317.6827184115523,680.5731863882443,595.7895260663505
60657,White,70958,2643,2598156.590000012,2608384.4500000128,751527.5600000081,974796.5400000082,974796.5400000082,164333.95000000016,130440.80999999997,3682.1499999999996,2411,232,2370107.3500000113,228049.23999999987,86.28423760877786,94.58699294898378,982.970862068965
60645,,47270,2403,2676626.350000013,2688954.7500000102,914944.1299999987,886166.7099999989,886166.7099999989,241028.2000000004,135106.99999999985,2880.03,1325,1078,1911545.589999999,765080.7599999993,318.38566791510584,577.4194415094335,709.7224118738399
60656,White,28218,2097,1444446.440000005,1440502.7500000054,562891.8299999991,466004.4800000017,466004.4800000017,98716.74999999968,74546.90999999999,1307.81,872,1225,720958.4999999994,723487.939999995,345.010939437289,829.6880045871503,590.602399999996
60707,,43093,2054,2786924.6100000003,2780746.9599999976,1700976.8499999784,531861.3700000003,531861.3700000003,112882.43999999989,110849.91999999991,1806.9,874,1180,1860087.7800000042,926836.8299999979,451.2350681596874,1060.4540389015995,785.4549406779643
